n_cores,n_train,n_test,n_tiles,n_reg,n_streams,i_loop,time
48,16384,16384,2,8,1,4,2.236706018447876
48,16384,16384,2,8,1,5,2.2278966903686523
48,16384,16384,2,8,1,6,2.2242069244384766
48,16384,16384,2,8,1,7,2.2290256023406982
48,16384,16384,2,8,1,8,2.2280163764953613
48,16384,16384,2,8,1,9,2.2210023403167725
48,16384,16384,2,8,1,10,2.226245880126953
48,16384,16384,2,8,2,0,2.361917495727539
48,16384,16384,2,8,2,1,2.2302253246307373
48,16384,16384,2,8,2,2,2.2319564819335938
48,16384,16384,2,8,2,3,2.230307102203369
48,16384,16384,2,8,2,4,2.2495174407958984
48,16384,16384,2,8,2,5,2.2303237915039062
48,16384,16384,2,8,2,6,2.2306480407714844
48,16384,16384,2,8,2,7,2.232288360595703
48,16384,16384,2,8,2,8,2.2324917316436768
48,16384,16384,2,8,2,9,2.2394094467163086
48,16384,16384,2,8,2,10,2.2344744205474854
48,16384,16384,2,8,4,0,2.378363609313965
48,16384,16384,2,8,4,1,2.244438648223877
48,16384,16384,2,8,4,2,2.238835096359253
48,16384,16384,2,8,4,3,2.238090753555298
48,16384,16384,2,8,4,4,2.2398340702056885
48,16384,16384,2,8,4,5,2.24482798576355
48,16384,16384,2,8,4,6,2.238161325454712
48,16384,16384,2,8,4,7,2.246337652206421
48,16384,16384,2,8,4,8,2.26428484916687
48,16384,16384,2,8,4,9,2.235971450805664
48,16384,16384,2,8,4,10,2.237955331802368
48,16384,16384,2,8,8,0,2.378791093826294
48,16384,16384,2,8,8,1,2.233536958694458
48,16384,16384,2,8,8,2,2.2448744773864746
48,16384,16384,2,8,8,3,2.2345573902130127
48,16384,16384,2,8,8,4,2.231837511062622
48,16384,16384,2,8,8,5,2.2322452068328857
48,16384,16384,2,8,8,6,2.239487409591675
48,16384,16384,2,8,8,7,2.237502336502075
48,16384,16384,2,8,8,8,2.2322449684143066
48,16384,16384,2,8,8,9,2.2419333457946777
48,16384,16384,2,8,8,10,2.2393341064453125
48,16384,16384,2,8,16,0,2.3854520320892334
